연도,시도,시군구,sigungu_cd,stnId,참조관측소,거리_km,연평균기온,겨울철_평균최저기온,겨울철_자료완전성,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_연평균,SPI3_최저월(최심가뭄),SPI3_최고월(최다습),SPI3_유효월수,연간관측일수,표고_m,표고_비고,토양수분_비고,비고
2021,경상남도,진주시,48170,192,진주,9.34,14.17,-4.09,True,24.8,1395.0,0.99,1964.1,2822.3,-0.29,-1.27,0.5,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 9.34km)"
2022,경상남도,진주시,48170,192,진주,9.34,13.89,-5.07,True,25.19,966.2,0.96,1996.4,2849.3,-1.12,-2.3,-0.6,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 9.34km)"
2023,경상남도,진주시,48170,192,진주,9.34,14.43,-4.73,True,25.2,2304.8,0.9,2069.0,2941.1,0.79,-0.71,1.79,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 9.34km)"
2024,경상남도,진주시,48170,192,진주,9.34,15.07,-2.03,True,25.96,1856.6,0.85,2290.6,3160.1,0.91,-0.34,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 9.34km)"
2025,경상남도,진주시,48170,192,진주,9.34,13.98,-5.04,True,25.47,1449.5,0.65,2100.0,2917.0,-0.23,-1.31,0.69,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 9.34km)"
2016,경상남도,창녕군,48740,288,밀양,22.8,14.76,-2.57,True,25.95,1568.2,1.04,2212.6,3081.2,0.84,-0.9,2.01,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2017,경상남도,창녕군,48740,288,밀양,22.8,14.27,-3.55,True,26.16,558.1,1.1,2191.0,3003.4,-1.13,-2.17,0.74,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2018,경상남도,창녕군,48740,288,밀양,22.8,13.91,-6.09,True,26.21,1337.0,1.09,2078.6,2915.4,0.28,-1.59,1.16,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2019,경상남도,창녕군,48740,288,밀양,22.8,14.36,-3.65,True,24.87,1181.1,1.04,2030.0,2872.2,-0.04,-0.74,1.09,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2020,경상남도,창녕군,48740,288,밀양,22.8,14.13,-1.63,True,24.95,1398.8,1.06,1918.9,2762.5,0.23,-1.22,1.18,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2021,경상남도,창녕군,48740,288,밀양,22.8,14.54,-4.04,True,25.4,1202.5,1.04,2123.4,2996.8,0.01,-0.94,0.92,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2022,경상남도,창녕군,48740,288,밀양,22.8,14.61,-4.19,True,25.97,843.2,1.13,2195.0,3080.8,-1.02,-2.23,-0.24,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2023,경상남도,창녕군,48740,288,밀양,22.8,15.03,-3.95,True,26.02,1874.0,0.98,2236.6,3138.4,0.7,-0.95,2.31,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2024,경상남도,창녕군,48740,288,밀양,22.8,15.84,-1.05,True,26.93,1200.9,1.01,2508.2,3393.1,0.48,-0.91,1.75,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2025,경상남도,창녕군,48740,288,밀양,22.8,15.14,-4.28,True,27.27,1314.0,1.3,2450.8,3295.0,-0.26,-1.55,1.18,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 22.8km)"
2016,경상남도,창원시 마산합포구,48125,155,창원,4.37,14.92,-0.59,True,25.4,1893.0,1.6,2195.2,3085.0,0.63,-1.36,1.64,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2017,경상남도,창원시 마산합포구,48125,155,창원,4.37,14.85,-0.41,True,25.55,879.3,1.65,2227.8,3087.7,-0.91,-2.13,1.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2018,경상남도,창원시 마산합포구,48125,155,창원,4.37,14.27,-2.82,True,25.46,1507.3,1.65,2061.8,2939.2,0.04,-1.51,0.96,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2019,경상남도,창원시 마산합포구,48125,155,창원,4.37,14.71,-0.85,True,24.08,1587.0,1.58,2020.3,2899.3,0.01,-0.98,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2020,경상남도,창원시 마산합포구,48125,155,창원,4.37,14.41,0.95,True,24.24,1672.8,1.6,1926.4,2799.3,0.11,-1.51,1.25,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2021,경상남도,창원시 마산합포구,48125,155,창원,4.37,14.93,-1.35,True,24.89,1710.6,1.43,2105.5,3026.6,0.12,-1.23,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2022,경상남도,창원시 마산합포구,48125,155,창원,4.37,14.71,-1.66,True,25.1,1049.9,1.5,2151.7,3066.1,-0.97,-2.29,-0.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2023,경상남도,창원시 마산합포구,48125,155,창원,4.37,15.22,-1.58,True,25.37,2161.1,1.4,2203.4,3125.8,0.67,-0.61,1.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2024,경상남도,창원시 마산합포구,48125,155,창원,4.37,16.23,0.63,True,26.36,2016.8,1.7,2519.9,3434.2,0.95,-0.63,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2025,경상남도,창원시 마산합포구,48125,155,창원,4.37,15.61,-0.86,True,26.34,1181.9,1.76,2383.6,3285.2,-0.6,-1.54,0.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2016,경상남도,창원시 마산회원구,48127,155,창원,4.37,14.92,-0.59,True,25.4,1893.0,1.6,2195.2,3085.0,0.63,-1.36,1.64,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2017,경상남도,창원시 마산회원구,48127,155,창원,4.37,14.85,-0.41,True,25.55,879.3,1.65,2227.8,3087.7,-0.91,-2.13,1.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2018,경상남도,창원시 마산회원구,48127,155,창원,4.37,14.27,-2.82,True,25.46,1507.3,1.65,2061.8,2939.2,0.04,-1.51,0.96,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2019,경상남도,창원시 마산회원구,48127,155,창원,4.37,14.71,-0.85,True,24.08,1587.0,1.58,2020.3,2899.3,0.01,-0.98,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2020,경상남도,창원시 마산회원구,48127,155,창원,4.37,14.41,0.95,True,24.24,1672.8,1.6,1926.4,2799.3,0.11,-1.51,1.25,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2021,경상남도,창원시 마산회원구,48127,155,창원,4.37,14.93,-1.35,True,24.89,1710.6,1.43,2105.5,3026.6,0.12,-1.23,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2022,경상남도,창원시 마산회원구,48127,155,창원,4.37,14.71,-1.66,True,25.1,1049.9,1.5,2151.7,3066.1,-0.97,-2.29,-0.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2023,경상남도,창원시 마산회원구,48127,155,창원,4.37,15.22,-1.58,True,25.37,2161.1,1.4,2203.4,3125.8,0.67,-0.61,1.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2024,경상남도,창원시 마산회원구,48127,155,창원,4.37,16.23,0.63,True,26.36,2016.8,1.7,2519.9,3434.2,0.95,-0.63,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2025,경상남도,창원시 마산회원구,48127,155,창원,4.37,15.61,-0.86,True,26.34,1181.9,1.76,2383.6,3285.2,-0.6,-1.54,0.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2016,경상남도,창원시 성산구,48123,155,창원,4.37,14.92,-0.59,True,25.4,1893.0,1.6,2195.2,3085.0,0.63,-1.36,1.64,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2017,경상남도,창원시 성산구,48123,155,창원,4.37,14.85,-0.41,True,25.55,879.3,1.65,2227.8,3087.7,-0.91,-2.13,1.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2018,경상남도,창원시 성산구,48123,155,창원,4.37,14.27,-2.82,True,25.46,1507.3,1.65,2061.8,2939.2,0.04,-1.51,0.96,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2019,경상남도,창원시 성산구,48123,155,창원,4.37,14.71,-0.85,True,24.08,1587.0,1.58,2020.3,2899.3,0.01,-0.98,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2020,경상남도,창원시 성산구,48123,155,창원,4.37,14.41,0.95,True,24.24,1672.8,1.6,1926.4,2799.3,0.11,-1.51,1.25,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2021,경상남도,창원시 성산구,48123,155,창원,4.37,14.93,-1.35,True,24.89,1710.6,1.43,2105.5,3026.6,0.12,-1.23,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2022,경상남도,창원시 성산구,48123,155,창원,4.37,14.71,-1.66,True,25.1,1049.9,1.5,2151.7,3066.1,-0.97,-2.29,-0.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2023,경상남도,창원시 성산구,48123,155,창원,4.37,15.22,-1.58,True,25.37,2161.1,1.4,2203.4,3125.8,0.67,-0.61,1.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2024,경상남도,창원시 성산구,48123,155,창원,4.37,16.23,0.63,True,26.36,2016.8,1.7,2519.9,3434.2,0.95,-0.63,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2025,경상남도,창원시 성산구,48123,155,창원,4.37,15.61,-0.86,True,26.34,1181.9,1.76,2383.6,3285.2,-0.6,-1.54,0.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2016,경상남도,창원시 의창구,48121,155,창원,4.37,14.92,-0.59,True,25.4,1893.0,1.6,2195.2,3085.0,0.63,-1.36,1.64,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2017,경상남도,창원시 의창구,48121,155,창원,4.37,14.85,-0.41,True,25.55,879.3,1.65,2227.8,3087.7,-0.91,-2.13,1.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2018,경상남도,창원시 의창구,48121,155,창원,4.37,14.27,-2.82,True,25.46,1507.3,1.65,2061.8,2939.2,0.04,-1.51,0.96,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2019,경상남도,창원시 의창구,48121,155,창원,4.37,14.71,-0.85,True,24.08,1587.0,1.58,2020.3,2899.3,0.01,-0.98,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2020,경상남도,창원시 의창구,48121,155,창원,4.37,14.41,0.95,True,24.24,1672.8,1.6,1926.4,2799.3,0.11,-1.51,1.25,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2021,경상남도,창원시 의창구,48121,155,창원,4.37,14.93,-1.35,True,24.89,1710.6,1.43,2105.5,3026.6,0.12,-1.23,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2022,경상남도,창원시 의창구,48121,155,창원,4.37,14.71,-1.66,True,25.1,1049.9,1.5,2151.7,3066.1,-0.97,-2.29,-0.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2023,경상남도,창원시 의창구,48121,155,창원,4.37,15.22,-1.58,True,25.37,2161.1,1.4,2203.4,3125.8,0.67,-0.61,1.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2024,경상남도,창원시 의창구,48121,155,창원,4.37,16.23,0.63,True,26.36,2016.8,1.7,2519.9,3434.2,0.95,-0.63,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2025,경상남도,창원시 의창구,48121,155,창원,4.37,15.61,-0.86,True,26.34,1181.9,1.76,2383.6,3285.2,-0.6,-1.54,0.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2016,경상남도,창원시 진해구,48129,155,창원,4.37,14.92,-0.59,True,25.4,1893.0,1.6,2195.2,3085.0,0.63,-1.36,1.64,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2017,경상남도,창원시 진해구,48129,155,창원,4.37,14.85,-0.41,True,25.55,879.3,1.65,2227.8,3087.7,-0.91,-2.13,1.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2018,경상남도,창원시 진해구,48129,155,창원,4.37,14.27,-2.82,True,25.46,1507.3,1.65,2061.8,2939.2,0.04,-1.51,0.96,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2019,경상남도,창원시 진해구,48129,155,창원,4.37,14.71,-0.85,True,24.08,1587.0,1.58,2020.3,2899.3,0.01,-0.98,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2020,경상남도,창원시 진해구,48129,155,창원,4.37,14.41,0.95,True,24.24,1672.8,1.6,1926.4,2799.3,0.11,-1.51,1.25,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2021,경상남도,창원시 진해구,48129,155,창원,4.37,14.93,-1.35,True,24.89,1710.6,1.43,2105.5,3026.6,0.12,-1.23,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2022,경상남도,창원시 진해구,48129,155,창원,4.37,14.71,-1.66,True,25.1,1049.9,1.5,2151.7,3066.1,-0.97,-2.29,-0.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2023,경상남도,창원시 진해구,48129,155,창원,4.37,15.22,-1.58,True,25.37,2161.1,1.4,2203.4,3125.8,0.67,-0.61,1.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2024,경상남도,창원시 진해구,48129,155,창원,4.37,16.23,0.63,True,26.36,2016.8,1.7,2519.9,3434.2,0.95,-0.63,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2025,경상남도,창원시 진해구,48129,155,창원,4.37,15.61,-0.86,True,26.34,1181.9,1.76,2383.6,3285.2,-0.6,-1.54,0.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:parent_city_polygon, 거리 4.37km)"
2016,경상남도,통영시,48220,162,통영,5.87,15.36,1.27,True,24.8,1993.7,2.39,2163.4,3088.9,0.64,-1.3,1.58,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 5.87km)"
2017,경상남도,통영시,48220,162,통영,5.87,14.96,0.78,True,24.64,1249.4,2.42,2099.3,2973.7,-0.48,-1.99,1.34,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact, 거리 5.87km)"
