연도,시도,시군구,stnId,참조관측소,매핑방식,연평균기온,겨울철_평균최저기온,겨울철_자료완전성,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_연평균,SPI3_최저월(최심가뭄),SPI3_최고월(최다습),SPI3_유효월수,연간관측일수,표고_m,표고_비고,토양수분_비고,비고
2016,경상남도,사천시,192,진주,최근접대체,13.84,-3.51,True,24.77,1734.6,1.11,1973.9,2821.7,0.63,-1.29,1.79,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2017,경상남도,사천시,192,진주,최근접대체,13.59,-4.03,True,25.03,766.7,1.19,1970.4,2768.0,-1.07,-1.99,0.56,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2018,경상남도,사천시,192,진주,최근접대체,13.46,-6.07,True,25.19,1605.4,1.13,1883.3,2708.8,0.25,-1.24,1.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2019,경상남도,사천시,192,진주,최근접대체,14.0,-3.65,True,24.3,1481.6,0.97,1914.2,2750.7,-0.0,-0.93,1.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2020,경상남도,사천시,192,진주,최근접대체,13.73,-2.21,True,24.37,1812.7,0.94,1821.2,2633.5,0.19,-1.8,1.55,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2021,경상남도,사천시,192,진주,최근접대체,14.17,-4.09,True,24.8,1395.0,0.99,1964.1,2822.3,-0.29,-1.27,0.5,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2022,경상남도,사천시,192,진주,최근접대체,13.89,-5.07,True,25.19,966.2,0.96,1996.4,2849.3,-1.12,-2.3,-0.6,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2023,경상남도,사천시,192,진주,최근접대체,14.43,-4.73,True,25.2,2304.8,0.9,2069.0,2941.1,0.79,-0.71,1.79,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2024,경상남도,사천시,192,진주,최근접대체,15.07,-2.03,True,25.96,1856.6,0.85,2290.6,3160.1,0.91,-0.34,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2025,경상남도,사천시,192,진주,최근접대체,13.98,-5.04,True,25.47,1449.5,0.65,2100.0,2917.0,-0.23,-1.31,0.69,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,사천시 자체 ASOS 관측소 없음. 진주시와 접경(사실상 동일 생활권)이라 진주 관측소로 대체 - 사천시는 진주시와 기후 변수값이 동일해짐에 유의
2016,경상남도,양산시,257,양산시,동일지역,15.32,-0.53,True,25.69,1978.8,2.25,2263.4,3166.8,0.91,-0.41,2.03,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,양산시,257,양산시,동일지역,15.18,-0.78,True,26.07,720.2,2.33,2297.6,3153.1,-1.09,-2.01,0.86,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,양산시,257,양산시,동일지역,14.88,-3.27,True,26.32,1589.2,2.31,2221.2,3105.6,0.21,-1.98,1.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,양산시,257,양산시,동일지역,15.5,-0.62,True,25.0,1536.1,2.12,2211.2,3116.1,0.03,-0.48,0.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,양산시,257,양산시,동일지역,15.08,0.88,True,24.98,1892.5,2.22,2070.6,2977.5,0.37,-1.4,1.35,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,양산시,257,양산시,동일지역,15.46,-1.31,True,25.52,1708.2,2.19,2238.8,3174.4,0.18,-1.13,1.09,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,양산시,257,양산시,동일지역,15.42,-1.81,True,25.97,932.5,2.15,2323.7,3248.1,-1.1,-2.25,-0.49,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,양산시,257,양산시,동일지역,16.06,-1.31,True,26.29,2172.0,1.97,2412.5,3363.4,0.68,-0.63,1.65,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,양산시,257,양산시,동일지역,16.79,0.97,True,27.08,1669.4,2.11,2661.3,3590.4,0.64,-0.57,1.35,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,양산시,257,양산시,동일지역,15.65,-1.55,True,26.76,1169.9,2.05,2471.1,3357.0,-0.73,-1.69,0.42,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상남도,진주시,192,진주,동일지역,13.84,-3.51,True,24.77,1734.6,1.11,1973.9,2821.7,0.63,-1.29,1.79,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,진주시,192,진주,동일지역,13.59,-4.03,True,25.03,766.7,1.19,1970.4,2768.0,-1.07,-1.99,0.56,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,진주시,192,진주,동일지역,13.46,-6.07,True,25.19,1605.4,1.13,1883.3,2708.8,0.25,-1.24,1.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,진주시,192,진주,동일지역,14.0,-3.65,True,24.3,1481.6,0.97,1914.2,2750.7,-0.0,-0.93,1.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,진주시,192,진주,동일지역,13.73,-2.21,True,24.37,1812.7,0.94,1821.2,2633.5,0.19,-1.8,1.55,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,진주시,192,진주,동일지역,14.17,-4.09,True,24.8,1395.0,0.99,1964.1,2822.3,-0.29,-1.27,0.5,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,진주시,192,진주,동일지역,13.89,-5.07,True,25.19,966.2,0.96,1996.4,2849.3,-1.12,-2.3,-0.6,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,진주시,192,진주,동일지역,14.43,-4.73,True,25.2,2304.8,0.9,2069.0,2941.1,0.79,-0.71,1.79,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,진주시,192,진주,동일지역,15.07,-2.03,True,25.96,1856.6,0.85,2290.6,3160.1,0.91,-0.34,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,진주시,192,진주,동일지역,13.98,-5.04,True,25.47,1449.5,0.65,2100.0,2917.0,-0.23,-1.31,0.69,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상남도,창원시,155,창원,동일지역,14.92,-0.59,True,25.4,1893.0,1.6,2195.2,3085.0,0.63,-1.36,1.64,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,창원시,155,창원,동일지역,14.85,-0.41,True,25.55,879.3,1.65,2227.8,3087.7,-0.91,-2.13,1.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,창원시,155,창원,동일지역,14.27,-2.82,True,25.46,1507.3,1.65,2061.8,2939.2,0.04,-1.51,0.96,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,창원시,155,창원,동일지역,14.71,-0.85,True,24.08,1587.0,1.58,2020.3,2899.3,0.01,-0.98,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,창원시,155,창원,동일지역,14.41,0.95,True,24.24,1672.8,1.6,1926.4,2799.3,0.11,-1.51,1.25,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,창원시,155,창원,동일지역,14.93,-1.35,True,24.89,1710.6,1.43,2105.5,3026.6,0.12,-1.23,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,창원시,155,창원,동일지역,14.71,-1.66,True,25.1,1049.9,1.5,2151.7,3066.1,-0.97,-2.29,-0.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,창원시,155,창원,동일지역,15.22,-1.58,True,25.37,2161.1,1.4,2203.4,3125.8,0.67,-0.61,1.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,창원시,155,창원,동일지역,16.23,0.63,True,26.36,2016.8,1.7,2519.9,3434.2,0.95,-0.63,1.76,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,창원시,155,창원,동일지역,15.61,-0.86,True,26.34,1181.9,1.76,2383.6,3285.2,-0.6,-1.54,0.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상남도,통영시,162,통영,동일지역,15.36,1.27,True,24.8,1993.7,2.39,2163.4,3088.9,0.64,-1.3,1.58,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,통영시,162,통영,동일지역,14.96,0.78,True,24.64,1249.4,2.42,2099.3,2973.7,-0.48,-1.99,1.34,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,통영시,162,통영,동일지역,14.81,-1.26,True,25.2,2118.7,2.41,2075.9,2992.6,0.61,-1.78,1.82,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,통영시,162,통영,동일지역,15.34,0.89,True,24.01,1684.6,2.31,2063.6,2982.8,-0.0,-0.91,0.95,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,통영시,162,통영,동일지역,14.97,2.46,True,23.86,2137.7,2.46,1949.0,2868.4,0.44,-1.05,1.52,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,통영시,162,통영,동일지역,15.65,0.41,True,25.05,1800.1,2.43,2184.0,3165.8,0.03,-1.25,1.04,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,통영시,162,통영,동일지역,15.11,-0.1,True,24.75,987.8,2.42,2161.6,3095.6,-1.26,-2.43,0.23,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,통영시,162,통영,동일지역,15.59,0.05,True,24.77,2134.3,2.51,2179.6,3127.2,0.34,-0.94,1.49,12.0,363,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,통영시,162,통영,동일지역,16.16,1.91,True,25.29,1936.5,2.53,2375.5,3301.0,0.57,-0.45,1.25,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,통영시,162,통영,동일지역,15.36,-0.54,True,25.34,1152.0,2.49,2252.3,3157.8,-0.81,-1.71,0.12,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상북도,경주시,283,경주시,동일지역,14.08,-2.55,True,24.94,1251.4,2.33,2027.5,2866.6,0.49,-1.67,1.7,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상북도,경주시,283,경주시,동일지역,13.65,-2.89,True,25.07,590.7,2.46,1981.6,2771.0,-1.25,-2.26,0.05,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상북도,경주시,283,경주시,동일지역,13.54,-5.57,True,25.28,1303.7,2.39,1957.2,2797.7,0.64,-0.91,1.87,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상북도,경주시,283,경주시,동일지역,14.15,-2.69,True,24.14,1239.8,2.26,1947.7,2788.0,0.26,-0.77,1.46,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상북도,경주시,283,경주시,동일지역,13.91,-0.94,True,24.5,1371.6,2.6,1859.3,2695.6,0.6,-1.85,1.87,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상북도,경주시,283,경주시,동일지역,13.88,-3.81,True,24.47,1112.1,2.54,1908.0,2751.9,0.04,-1.01,0.9,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상북도,경주시,283,경주시,동일지역,13.9,-4.23,True,25.29,829.5,2.54,2018.4,2879.7,-0.87,-1.85,0.36,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상북도,경주시,283,경주시,동일지역,14.46,-4.09,True,25.5,1146.5,2.45,2102.5,2986.8,-0.1,-1.56,0.97,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상북도,경주시,283,경주시,동일지역,15.26,-1.55,True,26.7,1085.8,2.46,2328.6,3188.4,0.4,-0.69,1.9,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상북도,경주시,283,경주시,동일지역,14.64,-3.51,True,26.65,1033.0,2.58,2262.7,3087.7,-0.2,-1.0,1.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상북도,김천시,135,추풍령,최근접대체,12.46,-4.25,True,23.96,1147.1,2.6,1743.6,2530.9,0.11,-1.11,1.28,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2017,경상북도,김천시,135,추풍령,최근접대체,11.97,-4.63,True,23.58,921.8,2.78,1666.3,2439.3,-0.71,-1.91,0.42,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2018,경상북도,김천시,135,추풍령,최근접대체,11.96,-7.0,True,24.63,1304.2,2.74,1678.7,2446.3,0.55,-1.19,1.93,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2019,경상북도,김천시,135,추풍령,최근접대체,12.46,-4.95,True,23.11,1164.1,2.58,1622.5,2385.8,-0.01,-0.99,1.51,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2020,경상북도,김천시,135,추풍령,최근접대체,12.07,-3.16,True,23.03,1554.0,2.66,1508.2,2246.8,0.52,-1.9,2.16,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2021,경상북도,김천시,135,추풍령,최근접대체,12.28,-5.53,True,23.09,1129.1,2.56,1581.7,2339.5,-0.18,-0.88,1.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2022,경상북도,김천시,135,추풍령,최근접대체,12.04,-5.52,True,23.67,928.6,2.6,1649.9,2415.3,-0.86,-1.91,-0.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2023,경상북도,김천시,135,추풍령,최근접대체,12.79,-6.28,True,24.02,1551.5,2.33,1745.6,2555.4,0.27,-1.5,1.75,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2024,경상북도,김천시,135,추풍령,최근접대체,13.54,-3.07,True,24.82,1231.5,2.43,1931.6,2766.4,0.43,-1.83,2.24,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2025,경상북도,김천시,135,추풍령,최근접대체,12.8,-5.07,True,24.81,1138.4,2.33,1884.2,2657.4,-0.11,-1.6,1.44,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,김천시 자체 ASOS 관측소 없음. 추풍령 관측소는 경부선 추풍령역 인근 김천시 봉산면 인접 지역에 위치해 지리적으로 가장 근접
2016,경상북도,상주시,137,상주,동일지역,13.88,-3.0,True,25.61,1136.2,1.53,2129.9,2962.3,-0.0,-0.91,1.21,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상북도,상주시,137,상주,동일지역,13.41,-3.2,True,25.05,953.3,1.68,2026.8,2832.2,-0.79,-1.85,0.36,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상북도,상주시,137,상주,동일지역,13.19,-5.73,True,26.07,1357.2,1.56,2000.4,2810.6,0.52,-1.22,1.7,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상북도,상주시,137,상주,동일지역,13.49,-3.69,True,24.34,1062.5,1.41,1885.3,2689.7,-0.21,-1.11,1.11,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상북도,상주시,137,상주,동일지역,13.14,-2.22,True,24.21,1563.7,1.42,1756.2,2560.7,0.4,-2.04,1.92,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
